ID,Form_ID,Form,Cognateset_ID,Doubt,Cognate_Detection_Method,Source,Alignment,Alignment_Method,Alignment_Source
TibetanWritten-969_i-1-1,TibetanWritten-969_i-1,ŋa,969_i-1,false,expert,Gao2020,,,
TibetanLhasa-969_i-1-1,TibetanLhasa-969_i-1,ŋa¹³,969_i-1,false,expert,Gao2020,,,
TibetanDege-969_i-1-1,TibetanDege-969_i-1,ŋa¹³,969_i-1,false,expert,Gao2020,,,
TibetanXiahe-969_i-1-1,TibetanXiahe-969_i-1,ŋa,969_i-1,false,expert,Gao2020,,,
TibetanZeku-969_i-1-1,TibetanZeku-969_i-1,ŋa,969_i-1,false,expert,Gao2020,,,
MenbaCuona-969_i-1-1,MenbaCuona-969_i-1,ŋe¹³,969_i-1,false,expert,Gao2020,,,
MenbaMotuo-969_i-1-1,MenbaMotuo-969_i-1,dʑaŋ,969_i-7,false,expert,Gao2020,,,
QiangMawo-969_i-1-1,QiangMawo-969_i-1,qɑ,969_i-1,false,expert,Gao2020,,,
QiangTaoping-969_i-1-1,QiangTaoping-969_i-1,ŋɑ⁵⁵,969_i-1,false,expert,Gao2020,,,
PumiTaoba-969_i-1-1,PumiTaoba-969_i-1,a³⁵,969_i-10,false,expert,Gao2020,,,
PumiQinghua-969_i-1-1,PumiQinghua-969_i-1,ɛ⁵⁵,969_i-10,false,expert,Gao2020,,,
rGyalrongSomo-969_i-1-1,rGyalrongSomo-969_i-1,ŋa,969_i-1,false,expert,Gao2020,,,
Ergong-969_i-1-1,Ergong-969_i-1,ŋɛ,969_i-1,false,expert,Gao2020,,,
MuyaMinyak-969_i-1-1,MuyaMinyak-969_i-1,ŋɯ⁵⁵,969_i-1,false,expert,Gao2020,,,
ZhebaQueyu-969_i-1-1,ZhebaQueyu-969_i-1,ŋa³⁵,969_i-1,false,expert,Gao2020,,,
Guiqiong-969_i-1-1,Guiqiong-969_i-1,ŋø³⁵,969_i-1,false,expert,Gao2020,,,
ErsuGanluo-969_i-1-1,ErsuGanluo-969_i-1,ɑ⁵⁵,969_i-10,false,expert,Gao2020,,,
Namuyi-969_i-1-1,Namuyi-969_i-1,ŋa⁵⁵,969_i-1,false,expert,Gao2020,,,
ShixingXumi-969_i-1-1,ShixingXumi-969_i-1,ŋɐ⁵⁵,969_i-1,false,expert,Gao2020,,,
