ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile
TibetanWritten-969_i-1,,TibetanWritten,969_i,ŋa,ŋa,,,Sun1991,,,,
TibetanLhasa-969_i-1,,TibetanLhasa,969_i,ŋa¹³,ŋa¹³,,,Sun1991,,,,
TibetanDege-969_i-1,,TibetanDege,969_i,ŋa¹³,ŋa¹³,,,Sun1991,,,,
TibetanXiahe-969_i-1,,TibetanXiahe,969_i,ŋa,ŋa,,,Sun1991,,,,
TibetanZeku-969_i-1,,TibetanZeku,969_i,ŋa,ŋa,,,Sun1991,,,,
MenbaCuona-969_i-1,,MenbaCuona,969_i,ŋe¹³,ŋe¹³,,,Sun1991,,,,
MenbaMotuo-969_i-1,,MenbaMotuo,969_i,dʑaŋ,dʑaŋ,,,Sun1991,,,,
QiangMawo-969_i-1,,QiangMawo,969_i,qɑ,qɑ,,,Sun1991,,,,
QiangTaoping-969_i-1,,QiangTaoping,969_i,ŋɑ⁵⁵; qɑ⁵⁵,ŋɑ⁵⁵,,,Sun1991,,,,
QiangTaoping-969_i-2,,QiangTaoping,969_i,ŋɑ⁵⁵; qɑ⁵⁵,qɑ⁵⁵,,,Sun1991,,,,
PumiTaoba-969_i-1,,PumiTaoba,969_i,a³⁵,a³⁵,,,Sun1991,,,,
PumiQinghua-969_i-1,,PumiQinghua,969_i,ɛ⁵⁵,ɛ⁵⁵,,,Sun1991,,,,
rGyalrongSomo-969_i-1,,rGyalrongSomo,969_i,ŋa,ŋa,,,Sun1991,,,,
Ergong-969_i-1,,Ergong,969_i,ŋɛ,ŋɛ,,,Sun1991,,,,
MuyaMinyak-969_i-1,,MuyaMinyak,969_i,ŋɯ⁵⁵,ŋɯ⁵⁵,,,Sun1991,,,,
ZhebaQueyu-969_i-1,,ZhebaQueyu,969_i,ŋa³⁵,ŋa³⁵,,,Sun1991,,,,
Guiqiong-969_i-1,,Guiqiong,969_i,ŋø³⁵,ŋø³⁵,,,Sun1991,,,,
ErsuGanluo-969_i-1,,ErsuGanluo,969_i,ɑ⁵⁵,ɑ⁵⁵,,,Sun1991,,,,
Namuyi-969_i-1,,Namuyi,969_i,ŋa⁵⁵,ŋa⁵⁵,,,Sun1991,,,,
ShixingXumi-969_i-1,,ShixingXumi,969_i,ŋɐ⁵⁵,ŋɐ⁵⁵,,,Sun1991,,,,
YiXide-969_i-1,,YiXide,969_i,ŋa³³,ŋa³³,,,Sun1991,,,,
YiDafang-969_i-1,,YiDafang,969_i,ŋo²¹,ŋo²¹,,,Sun1991,,,,
YiNanjian-969_i-1,,YiNanjian,969_i,ŋɑ⁵⁵,ŋɑ⁵⁵,,,Sun1991,,,,
YiNanhua-969_i-1,,YiNanhua,969_i,ŋo³³,ŋo³³,,,Sun1991,,,,
YiMile-969_i-1,,YiMile,969_i,ŋo³³,ŋo³³,,,Sun1991,,,,
MojiangYi-969_i-1,,MojiangYi,969_i,ŋo²¹,ŋo²¹,,,Sun1991,,,,
Liso-969_i-1,,Liso,969_i,ŋuɑ⁴⁴,ŋuɑ⁴⁴,,,Sun1991,,,,
LijangNaxi-969_i-1,,LijangNaxi,969_i,ŋə³¹,ŋə³¹,,,Sun1991,,,,
YongningNaxi-969_i-1,,YongningNaxi,969_i,ȵɑ³³,ȵɑ³³,,,Sun1991,,,,
BikaHani-969_i-1,,BikaHani,969_i,ŋa⁵⁵,ŋa⁵⁵,,,Sun1991,,,,
HayaHani-969_i-1,,HayaHani,969_i,ŋa⁵⁵,ŋa⁵⁵,,,Sun1991,,,,
HaobaiHani-969_i-1,,HaobaiHani,969_i,ŋɔ⁵⁵,ŋɔ⁵⁵,,,Sun1991,,,,
Lahu-969_i-1,,Lahu,969_i,ŋᴀ³¹,ŋᴀ³¹,,,Sun1991,,,,
Jinou-969_i-1,,Jinou,969_i,ŋɔ³¹,ŋɔ³¹,,,Sun1991,,,,
DaliBai-969_i-1,,DaliBai,969_i,ŋo³¹,ŋo³¹,,,Sun1991,,,,
JianchuanBai-969_i-1,,JianchuanBai,969_i,ŋo³¹,ŋo³¹,,,Sun1991,,,,
BijangBai-969_i-1,,BijangBai,969_i,ŋo⁴²,ŋo⁴²,,,Sun1991,,,,
Tuja-969_i-1,,Tuja,969_i,ŋa³⁵,ŋa³⁵,,,Sun1991,,,,
WrittenBurmese-969_i-1,,WrittenBurmese,969_i,ŋɑ²,ŋɑ²,,,Sun1991,,,,
SpokenBurmese-969_i-1,,SpokenBurmese,969_i,ŋɑ²²,ŋɑ²²,,,Sun1991,,,,
Achang-969_i-1,,Achang,969_i,ŋɔ⁵⁵,ŋɔ⁵⁵,,,Sun1991,,,,
Zaiwa-969_i-1,,Zaiwa,969_i,ŋo⁵¹,ŋo⁵¹,,,Sun1991,,,,
LhaoVo-969_i-1,,LhaoVo,969_i,ŋɔ³¹,ŋɔ³¹,,,Sun1991,,,,
Nung-969_i-1,,Nung,969_i,ŋɑ⁵⁵,ŋɑ⁵⁵,,,Sun1991,,,,
