Grapheme	IPA
ʉ	ʉ
ɪ	ɪ
ɿ̱	ɿ̰
^bĕ_ʴ⁵³	b ĕʴ/ĕ ⁵³
^ŋɔ³¹̆	ŋ ɔ ³¹
$	NULL
!	NULL
?	NULL
|	NULL
ˇ	NULL
^◦	NULL
...	NULL
^⁵³	NULL
***$	NULL
^a$	a
^i$	i
^aː$	aː
^eː$	eː
^iː$	iː
^l̩$	l̩
^oː$	oː
^a³³mɛ³³~ko³³$	a ³³ + m ɛ ³³ + k o ³³
-	+
1	¹ +
A	a
G	ɢ
a	a
b	b
c	c
d	d
e	e
f	f
g	g
h	h
i	i
j	j
k	k
l	l
m	m
n	n
o	o
p	p
q	q
r	r
s	s
t	t
u	u
v	v
w	w
x	x
y	y
z	z
²	² +
³	³ +
¹	¹ +
ã	ã
æ	æ
ç	ç
ì	ì/i
ï	ï
õ	õ
ø	ø
û	u
ā	ā/a
ă	ă/a
ē	ē/e
ĕ	ĕ/e
ĩ	ĩ
ī	ī/i
ĭ	ĭ/i
į	į/i
ı	ɪ
ŋ	ŋ
ō	ō/o
ŏ	ŏ/o
œ	œ
ũ	ũ
ū	ū/u
ŭ	ŭ/u
ȳ	ȳ/y
ȵ	ȵ
ȶ	ȶ
ɐ	ɐ
ɑ	ɑ
ɒ	ɒ
ɔ	ɔ
ɕ	ɕ
ɖ	ɖ
ə	ə
ɛ	ɛ
ɟ	ɟ
ɣ	ɣ
ɤ	ɤ
ɦ	ɦ
ɨ	ɨ
ɬ	ɬ
ɮ	ɮ
ɯ	ɯ
ɱ	ɱ
ɲ	ɲ
ɳ	ɳ
ɸ	ɸ
ɹ	ɹ
ɿ	ɿ
ʁ	ʁ
ʂ	ʂ
ʃ	ʃ
ʅ	ʅ
ʈ	ʈ
ʐ	ʐ
ʑ	ʑ
ʒ	ʒ
ʔ	ʔ
β	β
θ	θ
χ	χ
ᴀ	a
ᴇ	e̞
ᴜ	u
ḷ	ḷ/l
ṇ	ṇ/n
ṽ	ṽ
ẽ	ẽ
ỹ	ỹ
⁴	⁴ +
⁵	⁵ +
◦	+
3$	³
33	³³ +
4$	⁴
44	⁴⁴ +
A̱	a̠/a
^A	a
^G	ɢ
^a	a
^b	b
^c	c
^d	d
^e	e
^f	f
^g	g
^h	h
^i	i
^j	j
^k	k
^l	l
^m	m
^n	n
^o	o
^p	p
^q	q
^r	r
^s	s
^t	t
^u	u
^v	v
^w	w
^x	x
^y	y
^z	z
^ã	ã
^ç	ç
^ê	ê/e
^õ	õ
^ø	ø
^û	û/u
^ĕ	ĕ/e
^ĩ	ĩ
^ī	ī/i
^ĭ	ĭ/i
^ŋ	ŋ
^ũ	ũ
^ȵ	ɲ
^ɐ	ɐ
^ɑ	ɑ
^ɒ	ɒ
^ɔ	ɔ
^ɕ	ɕ
^ɖ	ɖ
^ə	ə
^ɛ	ɛ
^ɟ	ɟ
^ɣ	ɣ
^ɤ	ɤ
^ɦ	ɦ
^ɬ	ɬ
^ɮ	ɮ
^ɯ	ɯ
^ɲ	ɲ
^ɳ	ɳ
^ɸ	ɸ
^ɹ	ɹ
^ʁ	ʁ
^ʂ	ʂ
^ʃ	ʃ
^ʅ	ʅ
^ʈ	ʈ
^ʐ	ʐ
^ʑ	ʑ
^ʒ	ʒ
^ʔ	ʔ
^β	β
^θ	θ
^χ	χ
^ᴀ	a
^ᴜ	u
^ḥ	h̩/h
^ḷ	ḷ/l
^ṇ	ṇ/n
^ẽ	ẽ
a$	a
ai	ai
ao	ao
au	au
aʴ	a˞
aː	aː
a̱	a̠/a
aṁ	ã
b$	b
bh	bʰ
bs	b s
bw	bʷ
bɕ	b ɕ
bʐ	b ʐ
bʑ	b ʑ
bʒ	b ʒ
ch	cʰ
cɕ	tɕ
cʑ	c ʑ
d$	d
dz	dz
dʐ	ɖʐ
dʑ	dʑ
dʒ	dʒ
dʴ	ɖ
e$	e
ei	ei
eu	eu
eʴ	e˞
eː	eː
e̱	e̠/e
g$	g
gs	g s
gw	gʷ
gɕ	g ɕ
gʐ	g ʐ
gʑ	g ʑ
hn	n̥
hs	sʰ
ht	tθ
hw	h w
hʑ	h ʑ
i$	i
ia	j a
ie	j e
io	j o
iã	j ã
iɑ	j ɑ
iɒ	j ɒ
iʴ	i˞
iː	iː
i̥	i̥
i̱	i̠/i
j$	j
jw	j w
k$	k
kh	kʰ
ks	k s
kw	kʷ
kʂ	k ʂ
kʃ	k ʃ
kʐ	k ʐ
kʒ	k ʒ
kʰ	kʰ
l$	l
lh	lʰ
lw	lʷ
l̥	l̥
l̩	l̩/l
m$	m
mb	ⁿb
mm	mː
mw	m w
mɕ	m ɕ
mʃ	m ʃ
mʐ	m ʐ
m̆	m̩
m̥	m̥
m̩	m̩
n$	n
nd	ⁿd
ns	n s
n̥	n̥
n̩	n̩/n
o$	o
oi	o i
ou	o u
oʴ	o˞
oː	oː
o̱	o̠/o
o̵	ɞ
oṁ	õ
p$	p
ph	pʰ
ps	p s
pw	p w
pʂ	p ʂ
pʐ	p ʐ
pʑ	p ʑ
pʒ	p ʒ
pʰ	pʰ
p̣	p̩
q$	q
qh	qʰ
r$	r
rs	r s
rw	r w
r̥	r̥
s$	s
sh	sʰ
sw	s w
t$	t
th	tʰ
ts	ts
tɕ	tɕ
tʂ	ʈʂ
tʃ	tʃ
tʰ	tʰ
tθ	tθ
u$	u
ua	w a
ue	w e
ui	w i
uo	w o
uɑ	w ɑ
uʴ	u˞
uː	uː
u̪	u̪/u
u̯	u̯/u
u̱	u̠/u
u̵	ʉ
uṁ	ũ
vs	v s
vɕ	v ɕ
vʐ	v ʐ
vʑ	v ʑ
v̩	v̩
v̱	v̠̩
ws	w s
wɕ	w ɕ
wʐ	w ʐ
wʑ	w ʑ
xh	xʰ
xʐ	x ʐ
y$	y
yo	ɥ o
yĩ	ɥ ĩ
yː	yː
z$	z
zʐ	z ʐ
²²_	²² +
²³_	²³ +
²¹_	²¹ +
²⁴_	²⁴ +
³$	³
³3_	³³ +
³²_	³² +
³³_	³³ +
³¹_	³¹ +
³⁵_	³⁵ +
³◦	³ +
¹$	¹
¹|_	¹ +
¹³_	¹³ +
¹¹_	¹¹ +
¹⁵_	¹⁵ +
²$	²
²²	²² +
²³	²³ +
²¹	²¹ +
²⁴	²⁴ +
²◦	² +
³$	³
³3	³³ +
³²	³² +
³³	³³ +
³¹	³¹ +
³⁵	³⁵ +
³◦	³ +
¹$	¹
¹|	¹ +
¹³	¹³ +
¹¹	¹¹ +
¹⁵	¹⁵ +
¹◦	¹ +
ã$	ã
æʴ	æ˞
çh	çʰ
õ̵	õ̵/õ
ø$	ø
øː	øː
ø̃	ø̃
ø̱	ø̠/ø
û$	û/u
ăi	ă/a i
ă̱	ă̠/a
ĕʴ	e˞̆/e˞
ĩ̱	ĩ̠/ĩ
ŋ$	ŋ
ŋg	ⁿg
ŋs	ŋ s
ŋw	ŋ w
ŋŋ	ŋː
ŋ̊	ŋ̊
ŋ̩	ŋ̍
ŏ̱	ŏ̠/o
ŭʴ	u˞̆/u˞
ȵ$	ȵ
ȵʑ	ȵ ʑ
ȵ̂	ȵ
ȵ̊	ȵ̊
