ID	PARAMETER_ID	CONCEPT	DOCULECT	LANGUAGE_NAME	VALUE	FORM	TOKENS	GLOTTOLOG	CONCEPTICON	LATITUDE	LONGITUDE	COGNACY	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	COGIDS	ALIGNMENT
1	969_i	I	TibetanWritten	Tibetan (Written)	ŋa	ŋa	ŋ a	clas1254	1209	29.24	92.01		4 7	AX	NA	39	39.N.C 39.A.V	2.0 1.5	ŋa	0	1	ŋ - a -
2	969_i	I	TibetanLhasa	Tibetan (Lhasa)	ŋa¹³	ŋa¹³	ŋ a ¹³	tibe1272	1209	28.37	90.19		4 7 8	AXT	NA2	38	38.N.C 38.A.V 38.2.T	1.6 3.0 1.0	ŋa¹³	0	1	ŋ - a ¹³
3	969_i	I	TibetanDege	Tibetan (Dege)	ŋa¹³	ŋa¹³	ŋ a ¹³	kham1282	1209	31.93	91.71		4 7 8	AXT	NA2	37	37.N.C 37.A.V 37.2.T	1.6 3.0 1.0	ŋa¹³	0	1	ŋ - a ¹³
4	969_i	I	TibetanXiahe	Tibetan (Xiahe)	ŋa	ŋa	ŋ a	amdo1237	1209	34.52	100.48		4 7	AX	NA	40	40.N.C 40.A.V	2.0 1.5	ŋa	0	1	ŋ - a -
5	969_i	I	TibetanZeku	Tibetan (Zeku)	ŋa	ŋa	ŋ a	amdo1237	1209	34.52	100.48		4 7	AX	NA	41	41.N.C 41.A.V	2.0 1.5	ŋa	0	1	ŋ - a -
6	969_i	I	MenbaCuona	Menba (Cuona)	ŋe¹³	ŋe¹³	ŋ e ¹³		1209				4 7 8	AXT	NE2	21	21.N.C 21.E.V 21.2.T	1.6 3.0 1.0	ŋe¹³	0	1	ŋ - e ¹³
7	969_i	I	MenbaMotuo	Menba (Motuo)	dʑaŋ	dʑaŋ	dʑ a ŋ		1209				2 7 4	AXN	CAN	22	22.C.C 22.A.V 22.N.c	2.0 1.5 0.8	dʑaŋ	0	2	dʑ a ŋ -
8	969_i	I	QiangMawo	Qiang (Mawo)	qɑ	qɑ	q ɑ	nort2722	1209	32.28	103.19		1 7	AX	KA	32	32.K.C 32.A.V	2.0 1.5	qɑ	0	4	q ɑ - -
9	969_i	I	QiangTaoping	Qiang (Taoping)	ŋɑ⁵⁵; qɑ⁵⁵	ŋɑ⁵⁵	ŋ ɑ ⁵⁵	sout2728	1209	31.54	103.38		4 7 8	AXT	NA5	33	33.N.C 33.A.V 33.5.T	1.6 3.0 1.0	ŋɑ⁵⁵	0	1	ŋ - ɑ ⁵⁵
10	969_i	I	PumiTaoba	Pumi (Taoba)	a³⁵	a³⁵	a ³⁵	nort2723	1209	28.66	101.31		7 8	XT	A2	30	30.A.V 30.2.T	3.0 1.0	a³⁵	0	3	a ³⁵
11	969_i	I	PumiQinghua	Pumi (Qinghua)	ɛ⁵⁵	ɛ⁵⁵	ɛ ⁵⁵	sout2729	1209	27.84	100.62		7 8	XT	E5	29	29.E.V 29.5.T	3.0 1.0	ɛ⁵⁵	0	3	ɛ ⁵⁵
12	969_i	I	rGyalrongSomo	rGyalrong (Somo)	ŋa	ŋa	ŋ a	jiar1240	1209	31.6	102.23		4 7	AX	NA	34	34.N.C 34.A.V	2.0 1.5	ŋa	0	1	ŋ - a -
13	969_i	I	Ergong	Ergong	ŋɛ	ŋɛ	ŋ ɛ	horp1239	1209	31.1	101.72		4 7	AX	NE	8	8.N.C 8.E.V	2.0 1.5	ŋɛ	0	1	ŋ - ɛ -
14	969_i	I	MuyaMinyak	Muya [Minyak]	ŋɯ⁵⁵	ŋɯ⁵⁵	ŋ ɯ ⁵⁵	muya1239	1209	29.82	102.2		4 7 8	AXT	NI5	25	25.N.C 25.I.V 25.5.T	1.6 3.0 1.0	ŋɯ⁵⁵	0	1	ŋ - ɯ ⁵⁵
